intent,example
greeting_greet,جدیداً چه تغییراتی رخ داده؟
greeting_greet,چه چیزی در حال وقوع است؟
greeting_greet,خبرهای جدید چیست؟
greeting_greet,چه اخبار تازه‌ای شنیده‌اید؟
greeting_greet,چه خبر؟
greeting_greet,چه می‌گذره؟
greeting_greet,چه خبرا؟
greeting_greet,چه کارا می‌کنی؟
greeting_greet,چه کنی؟
greeting_greet,جدیداً چه خبر؟
greeting_greet,چه چیز جدیدی داری؟
greeting_greet,چه کارا کردی؟
greeting_greet,چه اتفاقی افتاده؟
greeting_greet,چه می‌کنی؟
greeting_greet,اخبار تازه چیه؟
greeting_greet,چه خبرهای جدیدی داری؟
greeting_greet,اوضاع چطور پیش میره؟
greeting_greet,چه خبر تازه‌ای داری؟
greeting_greet,تازگی‌ها چه خبر؟
greeting_greet,چه چیز جدیدی شنیدی؟
greeting_greet,چه خبر خوشی داری؟
greeting_greet,این مدت چه کارا کردی؟
greeting_greet,چه کارای جالبی کردی؟
greeting_greet,چه وقایعی رخ داده؟
greeting_greet,چه چیز تازه‌ای تو راهه؟
greeting_greet,چه می‌گذره؟
greeting_greet,چی شده؟
greeting_greet,تازه چه خبر؟
greeting_greet,چه کارا می‌کنی؟
greeting_greet,اخبار جدید چیه؟
greeting_greet,چه تغییراتی بوده؟
greeting_greet,چطور پیش می‌ره؟
greeting_greet,جدیداً چه خبر؟
greeting_greet,چه وقایعی رخ داده؟
greeting_greet,چه چیز تازه‌ای هست؟
greeting_greet,چیا شنیدی؟
greeting_greet,چه کارای جدیدی کردی؟
greeting_greet,جدیداً چه کارا می‌کنی؟
greeting_greet,اوضاع چطور پیش می‌ره؟
greeting_greet,چه چیزای جالبی داری؟
greeting_greet,چه چیزای مهمی هست؟
greeting_greet,چه چیزای جدیدی تو دست داری؟
greeting_greet,اوضاع چه طوره؟
greeting_greet,چه چیزای تازه‌ای داری؟
greeting_greet,سلام، می‌خواستم بدونم چه خبرای جدیدی داری و این مدت چه اتفاقاتی افتاده که بخوای باهام در میون بذاری؟
greeting_greet,میشه لطفاً توضیح بدی که چه تغییرات جدیدی رخ داده و اوضاع چطوره؟
greeting_greet,خیلی وقت بود که ازت بی‌خبر بودم، تازه چه خبر؟
greeting_greet,میشه بگی این روزا چه کارایی انجام دادی و چه خبرایی داری؟
greeting_greet,توی این مدت که ندیدمت چه کارایی کردی و چه خبرایی داری؟
greeting_greet,چند وقتیه که از هم خبر نداریم، اوضاع چطوره و چه کارایی کردی؟
greeting_greet,میشه بگی چه اتفاقاتی افتاده و چه برنامه‌هایی داری؟
greeting_greet,دوست دارم بدونم چه چیزای جدیدی رو تجربه کردی و چه خبرایی داری؟
greeting_greet,خیلی وقته ندیدمت، تازه چه کارایی کردی و چه خبرایی داری؟
greeting_greet,توی این مدت که ازت بی‌خبر بودم چه تغییراتی پیش اومده؟
greeting_greet,چه خبرای مهمی داری که بخوای باهام در میون بذاری؟
greeting_greet,میشه بگی توی این مدت چه کارایی کردی و چه خبرایی داری؟
greeting_greet,خیلی وقته ندیدمت، چه کارایی کردی و چه خبرای جدیدی داری؟
greeting_greet,چه تغییرات جدیدی پیش اومده که بخوای بگی؟
greeting_greet,توی این مدت چه کارایی کردی و چه اتفاقاتی افتاده؟
greeting_greet,دوست دارم بدونم چه چیزای جدیدی رو تجربه کردی و چه خبرایی داری؟
greeting_greet,چه کارای جدیدی انجام دادی و چه برنامه‌هایی داری؟
greeting_greet,تازه چه خبر؟ چه کارایی کردی؟
greeting_greet,توی این مدت چه اتفاقاتی افتاده و چه کارایی کردی؟
greeting_greet,دوست دارم بدونم چه چیزای جدیدی رو تجربه کردی و چه برنامه‌هایی داری؟
greeting_greet,چه تغییرات جدیدی رخ داده که بخوای بگی؟
greeting_greet,خیلی وقته ندیدمت، تازه چه کارایی کردی و چه خبرایی داری؟
greeting_greet,میشه بگی این مدت چه تغییراتی پیش اومده و اوضاع چطوره؟
greeting_greet,چه خبرای جدیدی داری که بخوای باهام در میون بذاری؟
greeting_greet,توی این مدت که ازت بی‌خبر بودم، چه کارایی کردی و چه خبرایی داری؟
greeting_greet,چخبرا
greeting_greet,چه خبر ها
greeting_greet,حالت خوبه
greeting_greet,احوالت چطوره
greeting_greet,اصل حالت چطوره
greeting_greet,اوضاع احوال خوبه
greeting_greet,اوضاع خوبه
greeting_greet,اوضاع رو به راهه
greeting_greet,اوضاع رو براهه
greeting_greet,حال شما خوبه
greeting_greet,حالت خوبه
greeting_greet,حالت چطوره
greeting_greet,خوبی
greeting_greet,خوبی عزیزم
greeting_greet,خوش میگذره
greeting_greet,خوشی
greeting_greet,ردیفی
greeting_greet,رو به راهی
greeting_greet,رو به رشدی
greeting_greet,سر حالی
greeting_greet,سر کیفی
greeting_greet,سلامتی
greeting_greet,سلامتی
greeting_greet,سلامتی
greeting_greet,حالت خویه سلامتی
greeting_greet,خوبی سلامتی
greeting_greet,چطوری سلامتی
greeting_greet,میزونی
greeting_greet,چاکریم
greeting_greet,چطوری
greeting_greet,چطورین
greeting_greet,چطوری خوبی
greeting_greet,کار و بار خوبه
greeting_greet,احوال شما
greeting_greet,بهتری
greeting_greet,چخبر
greeting_greet,چه طوری
greeting_greet,خوفی
greeting_greet,خوبید
greeting_greet,خداقوت
greeting_greet,خذا قوت
greeting_greet,خسته نباشید
greeting_greet,خسته نباشی
greeting_greet,وقت بخیر
greeting_greet,روز بخیر
greeting_greet,روز به خیر
greeting_greet,روزتون بخیر
greeting_greet,صبح به خیر
greeting_greet,شبتون بخیر
greeting_greet,ظهر بخیر
greeting_greet,عصرتون بخیر
greeting_greet,روز خوش
greeting_greet,شب خوش
greeting_greet,شبخوش
technical_diagnose_remain,لطفاً نوع معاینه فنی ثبت شده در حساب شهروندی را اعلام کنید
technical_diagnose_remain,وضعیت معاینه فنی حساب شهروندی را اعلام فرمایید
technical_diagnose_remain,وضعیت فعلی معاینه فنی حساب شهروندی را بگویید
technical_diagnose_remain,لطفاً معاینه فنی حساب شهروندی را اعلام نمایید
technical_diagnose_remain,میزان اعتبار معاینه فنی در حساب شهروندی را بفرمایید
technical_diagnose_remain,جزئیات معاینه فنی موجود در حساب شهروندی را اعلام کنید
technical_diagnose_remain,نوع معاینه فنی ثبت شده در حساب شهروندی را اعلام فرمایید
technical_diagnose_remain,لطفاً نوع معاینه فنی موجود در حساب شهروندی را بگویید
technical_diagnose_remain,نوع معاینه فنی ثبت شده در حساب شهروندی کدام است؟
technical_diagnose_remain,وضعیت معاینه فنی موجود در حساب شهروندی را اطلاع دهید.
technical_diagnose_remain,معاینه فنی فعلی حساب شهروندی چه وضعیتی دارد؟
technical_diagnose_remain,نوع معاینه فنی ثبت شده در حساب شهروندی چیست؟
technical_diagnose_remain,جزئیات معاینه فنی حساب شهروندی را اعلام فرمایید.
technical_diagnose_remain,نوع و وضعیت معاینه فنی موجود در حساب شهروندی را اعلام کنید.
technical_diagnose_remain,معاینه فنی درج شده در حساب شهروندی چه وضعیتی دارد؟
technical_diagnose_remain,لطفاً مقدار و نوع معاینه فنی موجود در حساب شهروندی را بگویید.
technical_diagnose_remain,معاینه فنی حساب شهروندی چه مقدار است؟
technical_diagnose_remain,نوع و وضعیت معاینه فنی فعلی حساب شهروندی را بگویید.
technical_diagnose_remain,لطفاً جزئیات و وضعیت معاینه فنی موجود در حساب شهروندی را اعلام نمایید.
technical_diagnose_remain,مقدار و نوع معاینه فنی حساب شهروندی را بفرمایید.
technical_diagnose_remain,وضعیت کنونی معاینه فنی ثبت شده در حساب شهروندی چیست؟
technical_diagnose_remain,چقدر از معاینه فنی تو حسابم مونده؟
technical_diagnose_remain,بگو ببینم معاینه فنی حسابم چقدره؟
technical_diagnose_remain,معاینه فنی که تو حسابم هست چیه؟
technical_diagnose_remain,وضعیت معاینه فنیم تو حساب چجوریه؟
technical_diagnose_remain,چک کن ببین معاینه فنی حسابم چقدره؟
technical_diagnose_remain,معاینه فنی تو حسابم چیه؟
technical_diagnose_remain,ببین معاینه فنیم چقدره؟
technical_diagnose_remain,معاینه فنیم مونده یا نه؟
technical_diagnose_remain,معاینه فنی تو حسابم چجوریه؟
technical_diagnose_remain,معاینه فنیم هنوز تو حسابم هست؟
technical_diagnose_remain,معاینه فنی که تو حسابم هست چقدر مونده؟
technical_diagnose_remain,وضعیت معاینه فنی حسابمو بگو.
technical_diagnose_remain,ببین معاینه فنیم تو حساب چطوره؟
technical_diagnose_remain,چقدر از معاینه فنیم تو حسابم باقی مونده؟
technical_diagnose_remain,معاینه فنی که تو حسابم ثبت شده چیه؟
technical_diagnose_remain,مانده معاینه فنی تو حسابم چقدره؟
technical_diagnose_remain,معاینه فنی که تو حسابم هست چجوریه؟
technical_diagnose_remain,مقدار معاینه فنیم تو حساب چقدره؟
technical_diagnose_remain,وضعیت معاینه فنیم چیه؟
technical_diagnose_remain,معاینه فنی تو حسابم چقدر مونده؟
technical_diagnose_remain,بگو معاینه فنیم چیه؟
technical_diagnose_remain,وضعیت معاینه فنی حسابم چطوره؟
technical_diagnose_remain,ببین معاینه فنیم چیه؟
technical_diagnose_remain,معاینه فنی حسابم چقدر مونده؟
technical_diagnose_remain,چقدر از معاینه فنی تو حسابم باقی مونده؟
technical_diagnose_remain,بگو ببینم معاینه فنیم چقدره؟
technical_diagnose_remain,چقدر از معاینه فنی حسابم مونده؟
technical_diagnose_remain,مانده معاینه فنی حساب شهروندی را بگو
technical_diagnose_remain,چند روز تا پایان معاینه فنی مانده؟
technical_diagnose_remain,اعتبار معاینه فنی حسابم چقدر است؟
technical_diagnose_remain,وضعیت اعتبار معاینه فنی را بررسی کن
technical_diagnose_remain,مدت زمان اعتبار معاینه فنی را بگو
technical_diagnose_remain,تاریخ انقضای معاینه فنی من کی است؟
technical_diagnose_remain,مانده روزهای معاینه فنی را بگو
technical_diagnose_remain,پایان اعتبار معاینه فنی کی است؟
technical_diagnose_remain,چند روز تا انقضای معاینه فنی مانده؟
technical_diagnose_remain,معاینه فنی حسابم کی تمام می‌شود؟
technical_diagnose_remain,مدت باقیمانده از معاینه فنی چقدر است؟
technical_diagnose_remain,چه مدت از معاینه فنی باقی‌مانده؟
technical_diagnose_remain,تاریخ انقضای معاینه فنی حسابم را بگو
technical_diagnose_remain,اعتبار معاینه فنی حساب من چقدر است؟
technical_diagnose_remain,مانده معاینه فنی چقدره؟
technical_diagnose_remain,تاریخ پایان معاینه فنی حسابم چیه؟
technical_diagnose_remain,مدت اعتبار باقی‌مانده معاینه فنی؟
technical_diagnose_remain,چند روز از معاینه فنی حسابم مونده؟
technical_diagnose_remain,اعتبار معاینه فنی چقدر مونده؟
technical_diagnose_remain,چقدر اعتبار معاینه فنی حسابم باقی مونده؟
technical_diagnose_remain,معاینه فنی من کی تموم میشه؟
technical_diagnose_remain,تاریخ انقضای معاینه فنی حسابم کیه؟
technical_diagnose_remain,مدت زمان باقی‌مانده معاینه فنی من چقدره؟
technical_diagnose_remain,پایان اعتبار معاینه فنی من کی هست؟
technical_diagnose_remain,مانده زمان معاینه فنی چقدر؟
technical_diagnose_remain,مدت زمان باقیمانده معاینه فنی حسابم چقدره؟
technical_diagnose_remain,می‌توانید وضعیت فعلی معاینه فنی در حساب شهروندی من را بررسی و به من اطلاع دهید؟
technical_diagnose_remain,لطفا بگویید معاینه فنی که در حساب شهروندی من درج شده تا چه تاریخی معتبر است
technical_diagnose_remain,اگر امکان دارد اعلام کنید که معاینه فنی من چه زمانی به پایان می‌رسد و مانده آن چقدر است
technical_diagnose_remain,لطفا بررسی کنید که معاینه فنی حساب شهروندی من چه زمانی اعتبارش به پایان می‌رسد
technical_diagnose_remain,اگر ممکن است، بگویید معاینه فنی حساب شهروندی من چه زمانی تمام می‌شود
technical_diagnose_remain,آیا می‌توانید به من اطلاع دهید که چقدر از اعتبار معاینه فنی حساب شهروندی‌ام باقی‌مانده؟
technical_diagnose_remain,آیا می‌توانید مدت زمان اعتبار معاینه فنی حساب شهروندی من را بگویید؟
technical_diagnose_remain,لطفا بگویید چه مقدار از اعتبار معاینه فنی که در حساب شهروندی‌ام درج شده باقی‌مانده
technical_diagnose_remain,آیا می‌توانید به من اطلاع دهید که معاینه فنی حساب شهروندی‌ام چه زمانی منقضی می‌شود؟
technical_diagnose_remain,لطفا بگویید معاینه فنی که در حساب شهروندی من ثبت شده تا چه تاریخی اعتبار دارد
technical_diagnose_remain,اگر ممکن است، وضعیت اعتبار معاینه فنی حساب شهروندی‌ام را به من اطلاع دهید
technical_diagnose_remain,می‌خواستم بدانم معاینه فنی که در حساب شهروندی من درج شده چه مقدار از آن باقی‌مانده و تا چه زمانی معتبر است
technical_diagnose_remain,لطفا بگویید معاینه فنی که در حساب شهروندی من ثبت شده چه مقدار از آن هنوز معتبر است و چه زمانی منقضی می‌شود
technical_diagnose_remain,آیا می‌توانید به من بگویید که چه مقدار از اعتبار معاینه فنی حساب شهروندی‌ام باقی‌مانده و وضعیت کنونی آن چگونه است؟
technical_diagnose_remain,لطفا به من اطلاع دهید که معاینه فنی حساب شهروندی من چه زمانی منقضی می‌شود و چه مقدار از آن باقی‌مانده است
technical_diagnose_remain,آیا می‌توانید وضعیت اعتبار معاینه فنی من را بررسی کنید و به من بگویید چقدر از آن باقی‌مانده است؟
technical_diagnose_remain,لطفا بگویید معاینه فنی حساب شهروندی من تا چه زمانی معتبر است و چه مقدار از آن هنوز باقی‌مانده است
technical_diagnose_remain,آیا می‌توانید به من اطلاع دهید که وضعیت اعتبار معاینه فنی من چگونه است و چقدر از آن هنوز معتبر است؟
technical_diagnose_remain,می‌خواستم بدانم معاینه فنی که در حساب شهروندی من ثبت شده تا چه زمانی معتبر است و چه مقدار از آن باقی‌مانده است
technical_diagnose_remain,لطفا بگویید معاینه فنی حساب شهروندی من تا چه زمانی معتبر است و چقدر از آن هنوز باقی‌مانده است
technical_diagnose_remain,آیا می‌توانید بررسی کنید که معاینه فنی حساب شهروندی من چه زمانی منقضی می‌شود و چه مقدار از آن هنوز معتبر است؟
technical_diagnose_remain,لطفا به من اطلاع دهید که معاینه فنی حساب شهروندی من چه زمانی منقضی می‌شود و چه مقدار از آن هنوز معتبر است
technical_diagnose_remain,اعلام مانده نوع معاینه فنی درج شده در حساب شهروندی
technical_diagnose_remain,می خواستم وضعیت معاینه فنیم رو ببینم چطوریه؟
technical_diagnose_remain,نوع معاینه فنی پلاک من چیه؟
technical_diagnose_remain,نوع معاینه فنی خودروی من چی؟
technical_diagnose_remain,نوع معاینه فنی پلاک
technical_diagnose_remain,وضعیت معاینه فنی در حساب شهروندی
land_information,لطفاً جزئیات طرح تفصیلی ملک را ارائه دهید
land_information,لطفاً طرح تفصیلی ملک را شرح دهید
land_information,لطفاً مشخصات طرح تفصیلی این ملک را اعلام کنید
land_information,آیا می‌توانم اطلاعات طرح تفصیلی این ملک را داشته باشم؟
land_information,لطفاً اطلاعات جامع طرح تفصیلی ملک را ارسال کنید
land_information,طرح تفصیلی ملک را توضیح دهید
land_information,می‌توانم جزئیات طرح تفصیلی ملک را دریافت کنم؟
land_information,لطفاً اطلاعات مرتبط با طرح تفصیلی ملک را به من ارائه دهید
land_information,طرح تفصیلی این ملک چه جزئیاتی دارد؟
land_information,می‌توانید طرح تفصیلی ملک را برایم ارسال کنید؟
land_information,لطفاً اطلاعات کامل طرح تفصیلی این ملک را به من بدهید
land_information,طرح تفصیلی این ملک را توضیح بفرمایید
land_information,لطفاً مستندات مربوط به طرح تفصیلی این ملک را ارسال کنید
land_information,جزئیات کامل طرح تفصیلی ملک را می‌خواهم بدانم
land_information,لطفاً گزارش کامل طرح تفصیلی این ملک را ارسال نمایید
land_information,لطفاً طرح تفصیلی ملک را برایم تشریح کنید
land_information,می‌خواهم از طرح تفصیلی این ملک مطلع شوم
land_information,آیا می‌توانید جزئیات طرح تفصیلی این ملک را فراهم کنید؟
land_information,می‌خواهم جزئیات دقیق طرح تفصیلی این ملک را بدانم
land_information,لطفاً طرح تفصیلی این ملک را برای من ارسال کنید
land_information,آیا می‌توانید اطلاعات مربوط به طرح تفصیلی این ملک را بدهید؟
land_information,لطفاً جزئیات کامل طرح تفصیلی این ملک را اعلام کنید
land_information,می‌خواهم اطلاعات جامع طرح تفصیلی ملک را دریافت کنم
land_information,لطفاً مشخصات طرح تفصیلی این ملک را به من بدهید
land_information,آیا امکان دارد اطلاعات طرح تفصیلی این ملک را بفرستید؟
land_information,اطلاعات طرح تفصیلی این ملک رو می‌خوام
land_information,جزئیات طرح تفصیلی ملک رو میدی؟
land_information,می‌شه طرح تفصیلی این ملک رو بگی؟
land_information,طرح تفصیلی این ملک چیه؟
land_information,لطفاً جزئیات طرح تفصیلی رو بفرست
land_information,طرح تفصیلی اینجا رو می‌خوام
land_information,لطفاً اطلاعات طرح تفصیلی این ملک رو بفرست
land_information,اطلاعات دقیق طرح تفصیلی این ملک رو میدی؟
land_information,طرح تفصیلی این ملک رو بفرست لطفاً
land_information,لطفاً مشخصات طرح تفصیلی این ملک رو بگو
land_information,اطلاعات کامل طرح تفصیلی این ملک رو بده
land_information,طرح تفصیلی ملک رو برام بفرست
land_information,می‌خوام بدونم این ملک چه طرح تفصیلی داره
land_information,طرح تفصیلی این ملک رو می‌خوام بدونم چیه
land_information,طرح تفصیلی این ملک رو می‌دی؟
land_information,می‌خوام بدونم جزئیات طرح تفصیلی ملک چیه
land_information,لطفاً بگو طرح تفصیلی این ملک چیه
land_information,طرح تفصیلی اینجا رو می‌خواستم بدونم
land_information,می‌تونی اطلاعات طرح تفصیلی رو برام بفرستی؟
land_information,طرح تفصیلی این ملک رو می‌خوام بدونم
land_information,جزئیات طرح تفصیلی اینجا چیه؟
land_information,طرح تفصیلی این ملک رو می‌خوام
land_information,طرح تفصیلی اینجا رو بفرست
land_information,می‌تونم اطلاعات طرح تفصیلی رو بگیرم؟
land_information,لطفاً اطلاعات طرح تفصیلی رو بفرست
land_information,می‌خوام بدونم طرح تفصیلی چیه
land_information,جزئیات طرح تفصیلی اینجا رو بگو
land_information,اطلاعات طرح تفصیلی رو می‌خوام
land_information,می‌خوام بدونم این ملک چه طرح تفصیلی داره
land_information,اطلاعات ملک را لطفا
land_information,جزئیات طرح تفصیلی را می‌خواهم
land_information,نقشه طرح تفصیلی ملک
land_information,اطلاعات نقشه تفصیلی
land_information,طرح تفصیلی را بفرستید
land_information,اطلاعات کامل ملک
land_information,طرح تفصیلی زمین
land_information,نقشه زمین را بفرستید
land_information,لطفا نقشه تفصیلی زمین
land_information,مشخصات دقیق ملک
land_information,جزئیات نقشه ملک
land_information,موقعیت ملک را بفرستید
land_information,طرح تفصیلی دقیق ملک
land_information,مشخصات نقشه ملک
land_information,لطفا اطلاعات دقیق طرح تفصیلی
land_information,وضعیت طرح تفصیلی ملک
land_information,لطفا موقعیت دقیق ملک
land_information,نقشه کامل زمین
land_information,لطفا نقشه کامل ملک را بفرستید
land_information,وضعیت نقشه ملک
land_information,لطفا نقشه جزئیات ملک
land_information,موقعیت دقیق زمین
land_information,اطلاعات کامل موقعیت ملک
land_information,جزئیات کامل موقعیت ملک
land_information,من نیاز به اطلاعات کاملی در مورد طرح تفصیلی ملک دارم، ممکن است کمکم کنید؟
land_information,آیا می‌توانید نقشه و اطلاعات دقیق طرح تفصیلی این ملک را برایم فراهم کنید؟
land_information,من به اطلاعاتی در خصوص طرح تفصیلی ملکی که دارم نیاز دارم، می‌شود کمک کنید؟
land_information,آیا امکان دارد نقشه تفصیلی ملک را برای من ارسال کنید؟
land_information,لطفاً می‌توانید مشخصات دقیق و کامل طرح تفصیلی ملک را برای من ارسال کنید؟
land_information,آیا می‌توانید نقشه‌ای از طرح تفصیلی ملک برایم بفرستید؟
land_information,آیا می‌توانید برای من جزئیات کامل طرح تفصیلی این ملک را توضیح دهید؟
land_information,لطفاً می‌توانید نقشه تفصیلی ملک را برای من بفرستید؟
land_information,من به دنبال اطلاعاتی در خصوص طرح تفصیلی ملک هستم، می‌شود کمک کنید؟
land_information,من نیاز به اطلاعات کاملی در مورد طرح تفصیلی ملک دارم، ممکن است کمک کنید؟
land_information,آیا می‌توانید نقشه و اطلاعات تفصیلی ملک را برای من بفرستید؟
land_information,آیا امکان دارد نقشه و جزئیات کامل طرح تفصیلی ملک را برای من ارسال کنید؟
land_information,آیا می‌توانید نقشه کامل ملک را با جزئیات طرح تفصیلی برایم بفرستید؟
land_information,من نیاز به اطلاعات دقیق درباره موقعیت و طرح تفصیلی ملک دارم، می‌توانید کمکم کنید؟
land_information,لطفاً می‌توانید جزئیات دقیق نقشه ملک را به من ارائه دهید؟
land_information,آیا می‌توانید نقشه تفصیلی و شرح کامل ملک را برایم بفرستید؟
land_information,لطفاً می‌توانید اطلاعات کاملی درباره طرح تفصیلی این ملک به من بدهید؟
land_information,آیا می‌توانید نقشه و اطلاعات تفصیلی ملک را برای من ارسال کنید؟
land_information,من نیاز به اطلاعات دقیق و جزئیات کامل نقشه ملک دارم، می‌شود کمک کنید؟
land_information,لطفاً می‌توانید نقشه تفصیلی ملک را به همراه جزئیات برای من بفرستید؟
land_information,آیا می‌توانید جزئیات دقیق طرح تفصیلی ملک را برای من ارسال کنید؟
